FIGHTER,HEIGHT,WEIGHT,REACH,STANCE,DOB,age
Irene Aldana,175.26,135 lbs.,68,Orthodox,1988-03-26,1499.0
Hector Aldana,180.34,170 lbs.,72,Orthodox,1988-08-17,1557.0
Jose Alday,170.18,135 lbs.,68,Orthodox,1991-09-14,
Jose Aldo,170.18,135 lbs.,70,Orthodox,1986-09-09,1629.0
JJ Aldrich,165.1,125 lbs.,67,Southpaw,1992-09-29,1262.0
Irina Alekseeva,172.72,135 lbs.,67,Orthodox,1990-06-27,1713.0
Talita Alencar,154.94,115 lbs.,58,Orthodox,1990-10-17,1729.0
Jim Alers,175.26,145 lbs.,71,Orthodox,1986-10-14,1434.0
John Alessio,177.8,155 lbs.,72,Orthodox,1979-07-05,1403.0
Houston Alexander,182.88,205 lbs.,72,Orthodox,1972-03-22,1860.0
Kenneth Alexander,175.26,155 lbs.,,Orthodox,1977-09-25,
Lucas Alexander,180.34,145 lbs.,73,Orthodox,1995-07-28,1420.0
Marcio Alexandre Junior,182.88,185 lbs.,75,Southpaw,1989-05-05,1388.0
Olaf Alfonso,187.96,170 lbs.,,Orthodox,1974-08-06,
Pablo Alfonso,172.72,145 lbs.,,,1983-05-09,
Levi Alford,,--,,,,
Bill Algeo,182.88,145 lbs.,73,Switch,1989-06-09,1629.0
Royce Alger,177.8,199 lbs.,,Orthodox,,
Amir Aliakbari,190.5,250 lbs.,,,1984-06-10,
Sultan Aliev,180.34,170 lbs.,74,Orthodox,1984-09-17,1583.0
Nurullo Aliev,177.8,155 lbs.,72,Orthodox,2000-12-08,1159.0
Ikram Aliskerov,182.88,185 lbs.,76,Southpaw,1992-12-07,1586.0
Leon Aliu,182.88,185 lbs.,74,Orthodox,1989-07-14,
John Allan,185.42,205 lbs.,75,Orthodox,1993-02-22,1376.0
George Allen,187.96,205 lbs.,,Open Stance,1967-01-13,
Arnold Allen,172.72,145 lbs.,70,Southpaw,1994-01-22,1117.0
Brendan Allen,187.96,185 lbs.,75,Orthodox,1995-12-28,1321.0
Daniel Allen,182.88,155 lbs.,75,Southpaw,1992-08-10,
Ben Alloway,180.34,170 lbs.,76,Orthodox,1981-02-19,1696.0
Asu Almabayev,162.56,125 lbs.,65,Orthodox,1994-01-25,1540.0
Bekzat Almakhan,170.18,135 lbs.,68,Orthodox,1997-10-08,1377.0
John Dave Almanza,170.18,125 lbs.,67,Southpaw,2004-03-22,
Ricardo Almeida,182.88,170 lbs.,74,Orthodox,1976-11-29,1274.0
Magno Almeida,182.88,155 lbs.,,,1985-06-06,
Thomas Almeida,170.18,145 lbs.,70,Southpaw,1991-07-31,1238.0
Ericka Almeida,167.64000000000001,115 lbs.,,Orthodox,1989-03-05,1368.0
Estefani Almeida,162.56,125 lbs.,,Orthodox,1988-10-17,
Jailton Almeida,190.5,205 lbs.,79,Orthodox,1991-06-26,1647.0
Lucas Almeida,180.34,145 lbs.,71,Orthodox,1991-01-31,1635.0
Cesar Almeida,185.42,185 lbs.,74,Orthodox,1988-03-28,1879.0
Mauricio Alonso,187.96,170 lbs.,,,1980-02-27,
Sarah Alpar,162.56,135 lbs.,63,Southpaw,1991-06-01,1529.0
Ali AlQaisi,167.64000000000001,135 lbs.,68,Orthodox,1990-09-23,1558.0
Rico Altamirano,177.8,170 lbs.,,,,
Victor Altamirano,172.72,125 lbs.,70,Switch,1991-01-23,1647.0
Mike Altman,177.8,185 lbs.,,Orthodox,,
Patricia Alujas,162.56,115 lbs.,64,Orthodox,1996-05-08,
Sean Alvarez,182.88,235 lbs.,,Orthodox,1971-07-14,1658.0
Eddie Alvarez,175.26,155 lbs.,69,Orthodox,1984-01-11,1602.0
Jaime Alvarez,172.72,125 lbs.,69,Orthodox,1988-03-08,
Joel Alvarez,190.5,155 lbs.,77,Orthodox,1993-03-02,1355.0
Thiago Alves,175.26,170 lbs.,70,Orthodox,1983-10-03,1148.0
Anthony Alves,,--,,,,
Amilcar Alves,182.88,170 lbs.,,Southpaw,1988-08-08,1150.0
Warlley Alves,180.34,185 lbs.,72,Orthodox,1991-01-04,1221.0
Rafael Alves,172.72,155 lbs.,68,Orthodox,1990-11-14,1617.0
Sam Alvey,187.96,185 lbs.,75,Southpaw,1986-05-06,1475.0
Christopher Alvidrez,182.88,170 lbs.,74,Orthodox,1996-12-27,
Mahamed Aly,187.96,205 lbs.,78,Orthodox,1994-01-11,
Andre Amado,182.88,154 lbs.,,Orthodox,,
Adlan Amagov,187.96,170 lbs.,76,Orthodox,1986-10-30,1379.0
Maiara Amanajas dos Santos,165.1,115 lbs.,,Southpaw,1987-07-11,
Chris Amarante,,185 lbs.,,,,
Jimmy Ambriz,187.96,315 lbs.,,Southpaw,1970-01-26,
JJ Ambrose,177.8,170 lbs.,,Orthodox,,
Alen Amedovski,177.8,185 lbs.,74,Orthodox,1988-04-06,1619.0
Hyder Amil,175.26,145 lbs.,70,Switch,1990-05-28,1758.0
Hamid Amiri,,145 lbs.,,,2003-06-15,
Makwan Amirkhani,177.8,145 lbs.,72,Southpaw,1988-11-08,1367.0
Jaqueline Amorim,160.02,115 lbs.,68,Orthodox,1995-06-24,1450.0
Bertrand Amoussou,172.72,190 lbs.,,Orthodox,,
Karl Amoussou,180.34,185 lbs.,,Orthodox,1985-11-21,
Eryk Anders,185.42,185 lbs.,75,Southpaw,1987-04-21,1578.0
Matt Andersen,187.96,230 lbs.,,Southpaw,1971-05-29,
Andy Anderson,167.64000000000001,240 lbs.,,,1974-07-16,
Lowell Anderson,167.64000000000001,160 lbs.,,Orthodox,,
Corey Anderson,190.5,205 lbs.,79,Orthodox,1989-09-22,1354.0
Derek Anderson,182.88,155 lbs.,,,1990-02-02,
Megan Anderson,182.88,145 lbs.,72,Orthodox,1990-02-11,1477.0
Liam Anderson,190.5,185 lbs.,75,Orthodox,1995-01-13,
Tatsuya Ando,162.56,145 lbs.,68,Southpaw,1990-04-26,
Alex Andrade,180.34,200 lbs.,,Orthodox,1974-05-14,
Jessica Andrade,154.94,115 lbs.,62,Orthodox,1991-09-25,1139.0
Viscardi Andrade,180.34,170 lbs.,75,Orthodox,1984-03-08,1671.0
Jermaine Andre,170.18,200 lbs.,,Orthodox,,
Fellipe Andrew,,--,,,1994-10-24,
Dylan Andrews,185.42,185 lbs.,74,Switch,1979-11-15,1743.0
Reese Andy,182.88,205 lbs.,,Orthodox,1973-03-31,1842.0
Angga,170.18,145 lbs.,68,Orthodox,1989-01-13,
Julius Anglickas,190.5,205 lbs.,,Orthodox,1991-07-23,
Collin Anglin,175.26,145 lbs.,71,Orthodox,1993-02-20,1499.0
Chad Anheliger,167.64000000000001,135 lbs.,64,Orthodox,1986-12-01,1945.0
Yoji Anjo,180.34,205 lbs.,,Orthodox,1967-03-28,
Magomed Ankalaev,190.5,205 lbs.,75,Orthodox,1992-06-02,1345.0
Gadzhimurad Antigulov,180.34,205 lbs.,70,Orthodox,1987-02-09,1553.0
Adam Antolin,165.1,125 lbs.,63,Orthodox,1982-02-28,
Angelo Antonio,,205 lbs.,,Orthodox,,
Vanilto Antunes,182.88,170 lbs.,72,Orthodox,1994-12-28,
Azunna Anyanwu,185.42,251 lbs.,,Orthodox,1981-08-05,1884.0
Shinsho Anzai,170.18,170 lbs.,70,Orthodox,1985-12-01,1498.0
Jin Aoi,167.64000000000001,145 lbs.,68,Orthodox,1997-01-21,
Shinya Aoki,180.34,154 lbs.,,Southpaw,1983-05-09,
Aoriqileng,170.18,135 lbs.,69,Orthodox,1993-06-25,1482.0
Josh Appelt,177.8,255 lbs.,,Southpaw,1983-06-19,
Erik Apple,182.88,170 lbs.,,Orthodox,1977-08-26,
Kenji Arai,177.8,145 lbs.,,Southpaw,1979-10-05,
Romie Aram,177.8,170 lbs.,,Orthodox,1977-12-02,1325.0
Felipe Arantes,172.72,135 lbs.,73,Orthodox,1988-02-09,1228.0
Igor Araujo,185.42,170 lbs.,77,Orthodox,1980-12-06,1713.0
Viviane Araujo,162.56,125 lbs.,68,Orthodox,1986-11-21,1694.0
Julio Arce,170.18,145 lbs.,70,Southpaw,1989-10-27,1473.0
Art Arciniega,172.72,145 lbs.,,,1981-10-15,
Alice Ardelean,160.02,115 lbs.,62,Orthodox,1992-04-19,1683.0
Tristan Arenal,,155 lbs.,,,,
Gabriel Arges,,170 lbs.,,,1993-01-29,
Dan Argueta,170.18,135 lbs.,68,Southpaw,1993-08-13,1503.0
Reza Arianto,,155 lbs.,,,,
Hashem Arkhagha,187.96,185 lbs.,75,Orthodox,1989-09-11,
Andrei Arlovski,190.5,240 lbs.,77,Orthodox,1979-02-04,1168.0
Garrett Armfield,167.64000000000001,135 lbs.,70,Orthodox,1996-10-09,1343.0
Joey Armstrong,,--,,,,
Austin Arnett,182.88,145 lbs.,72,Orthodox,1991-10-22,1396.0
Ricardo Arona,180.34,205 lbs.,,Orthodox,1978-07-17,
Eli Aronov,177.8,185 lbs.,72,Orthodox,1996-06-06,
Chalid Arrab,180.34,205 lbs.,,Orthodox,1975-05-28,
Akbarh Arreola,177.8,155 lbs.,71,Southpaw,1983-01-14,1662.0
Matt Arroyo,177.8,170 lbs.,72,Orthodox,1982-09-01,1346.0
Antonio Arroyo,190.5,185 lbs.,73,Orthodox,1989-07-01,1642.0
Gilles Arsene,175.26,190 lbs.,,Southpaw,,
Veta Arteaga,170.18,125 lbs.,,,,
Cesar Arzamendia,180.34,155 lbs.,,Orthodox,1991-01-31,1294.0
Kai Asakura,172.72,125 lbs.,69,Orthodox,1993-10-31,1622.0
Teddy Ash,185.42,185 lbs.,73,Switch,1989-12-27,
Arman Ashimov,167.64000000000001,125 lbs.,,,1992-01-14,
Yanal Ashmouz,175.26,155 lbs.,69,Orthodox,1995-03-31,1459.0
Asjabharan,167.64000000000001,135 lbs.,,,1992-07-31,
Askar Askar,170.18,145 lbs.,69,Orthodox,1994-08-19,
Askar Askarov,167.64000000000001,125 lbs.,67,Orthodox,1992-10-09,1406.0
Cyril Asker,182.88,247 lbs.,74,Orthodox,1985-12-24,1580.0
Khusein Askhabov,172.72,145 lbs.,69,Orthodox,1995-02-13,1461.0
Scott Askham,190.5,185 lbs.,75,Southpaw,1988-05-20,1376.0
Ben Askren,180.34,170 lbs.,73,Orthodox,1984-07-18,1806.0
Ibo Aslan,190.5,205 lbs.,77,Orthodox,1996-04-23,1504.0
Tom Aspinall,195.57999999999998,256 lbs.,78,Orthodox,1993-04-11,1453.0
Steven Asplund,195.57999999999998,261 lbs.,78,Orthodox,1998-07-16,
Bruno Assis,187.96,185 lbs.,,Orthodox,1992-05-23,
Junior Assuncao,175.26,145 lbs.,72,Orthodox,1981-06-24,1320.0
Raphael Assuncao,165.1,135 lbs.,66,Orthodox,1982-07-19,1495.0
Michael Aswell,172.72,145 lbs.,69,Orthodox,2000-09-27,1287.0
Bazigit Atajev,185.42,230 lbs.,,Orthodox,,
Rich Attonito,177.8,170 lbs.,72,Orthodox,1977-06-16,1722.0
Olivier Aubin-Mercier,175.26,155 lbs.,70,Southpaw,1989-02-23,1311.0
Pat Audinwood,182.88,155 lbs.,,Orthodox,1986-04-16,1275.0
Jose Augusto,190.5,251 lbs.,,,1992-03-28,
Marcus Aurelio,177.8,155 lbs.,74,Orthodox,1973-08-18,1775.0
David Avellan,175.26,185 lbs.,,Orthodox,,
Blas Avena,182.88,170 lbs.,74,Orthodox,1983-06-30,
Levi Avera,185.42,170 lbs.,,,1982-05-17,
Anthony Avila,170.18,145 lbs.,,,1988-12-29,
Chris Avila,177.8,145 lbs.,,Orthodox,1993-01-16,1231.0
Julia Avila,170.18,135 lbs.,68,Orthodox,1988-05-11,1855.0
Saad Awad,180.34,155 lbs.,,,1983-06-07,
Javy Ayala,185.42,265 lbs.,,,1988-08-20,
Jessin Ayari,182.88,155 lbs.,73,Orthodox,1992-05-31,1304.0
Abu Azaitar,175.26,185 lbs.,76,Orthodox,1986-03-10,1688.0
Ottman Azaitar,172.72,155 lbs.,71,Switch,1990-02-20,1707.0
Luiz Azeredo,175.26,154 lbs.,,Orthodox,1976-06-10,
Luciano Azevedo,190.5,161 lbs.,,Orthodox,1981-06-25,
Hunter Azure,172.72,145 lbs.,69,Orthodox,1992-03-02,1436.0
Niklas Backstrom,185.42,145 lbs.,,Orthodox,1989-08-22,1292.0
Seth Baczynski,190.5,170 lbs.,75,Orthodox,1981-10-26,1494.0
Abdul Azeem Badakhshi,,145 lbs.,,,,
Ryan Bader,187.96,205 lbs.,74,Orthodox,1983-06-07,1424.0
Izabela Badurek,165.1,115 lbs.,,Orthodox,1991-07-11,1239.0
Miguel Baeza,187.96,170 lbs.,74,Orthodox,1992-08-23,1446.0
Ali Bagautinov,162.56,125 lbs.,65,Orthodox,1985-06-10,1473.0
Mehdi Baghdad,185.42,155 lbs.,,Orthodox,1985-04-13,1605.0
Melsik Baghdasaryan,175.26,145 lbs.,70,Southpaw,1992-01-28,1539.0
Siyar Bahadurzada,180.34,170 lbs.,73,Orthodox,1984-04-17,1460.0
Ignacio Bahamondes,190.5,155 lbs.,75,Orthodox,1997-08-27,1232.0
Bahatebole Batebolati,172.72,170 lbs.,71,Southpaw,1997-09-12,
Shamar Bailey,175.26,155 lbs.,75,Southpaw,1982-09-22,1497.0
Jordan Bailey,175.26,145 lbs.,,,,
Scott Baker,182.88,210 lbs.,,,,
Bryan Baker,190.5,185 lbs.,,Orthodox,1985-10-13,
Jin Bala,175.26,155 lbs.,,,,
Balajin,175.26,145 lbs.,72,Orthodox,1992-03-31,
Oluwale Bamgbose,180.34,185 lbs.,78,Switch,1987-08-04,1461.0
Stephen Banaszak,182.88,145 lbs.,,,1990-12-07,
Marcin Bandel,177.8,155 lbs.,,Orthodox,1989-10-10,1303.0
Humberto Bandenay,180.34,145 lbs.,71,Southpaw,1994-09-04,1195.0
Tae Hyun Bang,175.26,155 lbs.,71,Switch,1983-04-15,1603.0
Yohan Banks,,--,,,,
Shauna Bannon,165.1,115 lbs.,65,Switch,1993-10-23,1552.0
Antonio Banuelos,165.1,135 lbs.,63,Orthodox,1979-09-23,1636.0
Iwo Baraniewski,182.88,205 lbs.,73,Orthodox,1998-11-20,
Renan Barao,167.64000000000001,145 lbs.,70,Orthodox,1987-01-31,1269.0
Junior Barata,177.8,170 lbs.,,Orthodox,1982-01-25,
Maycee Barber,165.1,125 lbs.,65,Switch,1998-05-18,1130.0
Bryan Barberena,182.88,185 lbs.,72,Southpaw,1989-05-03,1336.0
Djani Barbir,190.5,185 lbs.,79,Orthodox,1997-08-09,
Dione Barbosa,167.64000000000001,125 lbs.,66,Orthodox,1992-05-08,1680.0
Marcio Barbosa,167.64000000000001,145 lbs.,70,Orthodox,1998-05-22,
Edson Barboza,180.34,155 lbs.,75,Orthodox,1986-01-21,1295.0
Raoni Barcelos,170.18,135 lbs.,67,Orthodox,1987-05-01,1628.0
Daniel Barez,167.64000000000001,125 lbs.,66,Orthodox,1988-12-10,1806.0
Danny Barlow,187.96,185 lbs.,79,Southpaw,1995-08-02,1489.0
Luke Barnatt,198.12,185 lbs.,77,Orthodox,1988-04-13,1413.0
James Barnes,172.72,135 lbs.,71,Orthodox,1982-05-28,
Nick Barnes,180.34,170 lbs.,,,,
Shonte Barnes,180.34,185 lbs.,76,Southpaw,1987-02-09,
Josh Barnett,190.5,250 lbs.,78,Orthodox,1977-11-10,1868.0
Chris Barnett,175.26,265 lbs.,75,Orthodox,1986-06-14,1823.0
Chris Barnhizer,,--,,,,
David Baron,167.64000000000001,155 lbs.,,Switch,1973-02-15,1861.0
Phil Baroni,175.26,170 lbs.,72,Orthodox,1976-04-16,1333.0
Dan Barrera,175.26,170 lbs.,,Orthodox,1980-12-23,1406.0
Carlos Barreto,193.04,230 lbs.,,Orthodox,,
Jose Barreto,,185 lbs.,,Southpaw,,
Peter Barrett,177.8,145 lbs.,73,Southpaw,1986-08-10,1773.0
Marc-Andre Barriault,185.42,185 lbs.,74,Orthodox,1990-02-18,1556.0
David Barrios,167.64000000000001,145 lbs.,,,,
Alexandre Barros,175.26,170 lbs.,,Southpaw,1976-11-19,1678.0
Ricardo Barros,185.42,205 lbs.,,,1976-03-22,
Francimar Barroso,185.42,205 lbs.,75,Orthodox,1980-02-28,1744.0
Pat Barry,180.34,235 lbs.,74,Orthodox,1979-07-07,1559.0
Dean Barry,177.8,170 lbs.,72,Orthodox,1992-07-03,1555.0
Enrique Barzola,170.18,145 lbs.,70,Orthodox,1989-04-28,1386.0
Javid Basharat,175.26,135 lbs.,69,Orthodox,1995-09-07,1383.0
Farid Basharat,172.72,135 lbs.,71,Orthodox,1997-08-02,1335.0
Austin Bashi,167.64000000000001,145 lbs.,70,Orthodox,2001-09-29,1215.0
Stephen Bass,175.26,145 lbs.,,Orthodox,1982-11-14,1515.0
Sean Bassett,,155 lbs.,,,,
Ryan Bastianelli,165.1,135 lbs.,,,,
Shayna Baszler,170.18,135 lbs.,,Orthodox,1980-08-08,1777.0
Namsrai Batbayar,162.56,125 lbs.,68,Orthodox,2000-12-29,
Michel Batista,190.5,260 lbs.,,Orthodox,1984-04-20,1806.0
Bryan Battle,185.42,185 lbs.,77,Orthodox,1994-09-21,1428.0
Alan Baudot,190.5,243 lbs.,79,Orthodox,1988-02-01,1705.0
Mario Bautista,175.26,135 lbs.,69,Switch,1993-07-01,1333.0
Chris Beal,170.18,125 lbs.,69,Orthodox,1985-08-06,1537.0
Donovan Beard,187.96,185 lbs.,78,Orthodox,1989-11-05,
Rudy Bears,180.34,170 lbs.,,Southpaw,,
Salvador Becerra,175.26,155 lbs.,,,,
Ariel Beck,167.64000000000001,125 lbs.,66,Southpaw,1990-09-16,1419.0
Jack Becker,177.8,155 lbs.,71,Orthodox,1992-12-20,
Jeff Bedard,167.64000000000001,145 lbs.,,Orthodox,1970-02-06,
Eric Bedard,187.96,239 lbs.,,,1984-09-11,
Johnny Bedford,177.8,135 lbs.,71,Orthodox,1983-01-06,1508.0
Rolando Bedoya,180.34,155 lbs.,74,Orthodox,1997-01-13,1372.0
Chase Beebe,170.18,135 lbs.,67,Orthodox,1985-03-29,
Lyle Beerbohm,177.8,155 lbs.,,Southpaw,1979-02-05,
Allan Begosso,165.1,135 lbs.,66,Orthodox,1995-11-23,
Azamat Bekoev,182.88,185 lbs.,72,Orthodox,1995-12-30,1516.0
Mirsad Bektic,172.72,145 lbs.,70,Orthodox,1991-02-16,1267.0
Diana Belbita,170.18,125 lbs.,68,Orthodox,1996-06-26,1216.0
Alan Belcher,187.96,185 lbs.,75,Orthodox,1984-04-24,1165.0
Vitor Belfort,182.88,185 lbs.,74,Southpaw,1977-04-01,1316.0
Yousri Belgaroui,195.57999999999998,185 lbs.,79,Orthodox,1992-06-02,
Rodolfo Bellato,190.5,205 lbs.,75,Orthodox,1996-02-05,1513.0
Danilo Belluardo,182.88,155 lbs.,74,Southpaw,1994-07-21,1297.0
Joey Beltran,185.42,185 lbs.,75,Orthodox,1981-12-08,1502.0
Marco Beltran,172.72,125 lbs.,69,Orthodox,1986-05-18,1540.0
Joseph Benavidez,162.56,125 lbs.,65,Southpaw,1984-07-31,1532.0
Mike Bencic,182.88,215 lbs.,,Orthodox,,
Dave Beneteau,187.96,250 lbs.,,Orthodox,,
Karla Benitez,160.02,113 lbs.,,,,
Gabriel Benitez,172.72,155 lbs.,71,Southpaw,1988-06-15,1538.0
Charles Bennett,172.72,155 lbs.,,Orthodox,1979-11-23,
Josh Bennett,193.04,259 lbs.,,Orthodox,,
DeAnna Bennett,162.56,125 lbs.,68,Orthodox,1984-11-18,1723.0
Benjamin Bennett,182.88,170 lbs.,73,Switch,1994-05-08,
Lance Benoist,180.34,170 lbs.,72,Southpaw,1988-08-26,1203.0
Joe Benoit,175.26,170 lbs.,,Orthodox,1982-03-12,
Ryan Benoit,165.1,125 lbs.,68,Orthodox,1989-08-25,1266.0
Pat Benson,175.26,155 lbs.,,,,
Len Bentley,175.26,155 lbs.,,,1982-11-30,
Steve Berger,180.34,170 lbs.,,Orthodox,1973-05-20,1458.0
Kenneth Bergh,187.96,205 lbs.,74,Orthodox,1989-06-26,
Bret Bergmark,175.26,170 lbs.,,,1973-11-24,
Keith Berish,182.88,205 lbs.,,Orthodox,1985-11-14,1494.0
Dennis Bermudez,167.64000000000001,155 lbs.,66,Orthodox,1986-12-13,1303.0
Manny Bermudez,177.8,145 lbs.,71,Orthodox,1994-07-16,1232.0
Talita Bernardo,162.56,135 lbs.,68,Orthodox,1987-03-04,1591.0
Dave Berry,,--,,,,
Keith Berry,185.42,185 lbs.,,,1987-10-25,
Dieusel Berto,175.26,200 lbs.,,,,
Edson Berto,167.64000000000001,155 lbs.,,Orthodox,1983-07-05,
Allen Berube,172.72,155 lbs.,,Orthodox,1974-08-25,1712.0
Anton Berzin,187.96,205 lbs.,,Orthodox,1989-09-29,
Scott Bessac,193.04,245 lbs.,,,,
Matt Bessette,177.8,145 lbs.,70,Orthodox,1984-12-28,1725.0
Khadzhi Bestaev,198.12,185 lbs.,76,,1988-07-16,
Fernando Bettega,,170 lbs.,,,1980-03-10,
Arjan Bhullar,185.42,245 lbs.,75,Orthodox,1986-05-13,1634.0
KB Bhullar,193.04,185 lbs.,78,Switch,1991-10-12,1513.0
Bibulatov Magomed,165.1,125 lbs.,65,Orthodox,1988-08-22,1493.0
David Bielkheden,177.8,155 lbs.,71,Orthodox,1979-06-06,1499.0
Blake Bilder,172.72,145 lbs.,68,Switch,1990-07-12,1700.0
Jonas Bilharinho,180.34,145 lbs.,75,Switch,1990-05-22,
Jeremiah Billington,175.26,205 lbs.,,Orthodox,1977-11-14,
Scott Bills,177.8,170 lbs.,,,,
Anthony Birchak,172.72,135 lbs.,69,Orthodox,1986-05-16,1516.0
Chris Birchler,190.5,205 lbs.,,Switch,1987-06-05,
Angad Bisht,170.18,125 lbs.,67,Orthodox,1995-06-05,
Michael Bisping,185.42,185 lbs.,75,Orthodox,1979-02-28,1498.0
Amaury Bitetti,175.26,185 lbs.,,Orthodox,,
Caio Bittencourt,182.88,185 lbs.,75,Orthodox,1991-05-22,
Davi Bittencourt,165.1,135 lbs.,65,Orthodox,1994-10-12,
Simon Biyong,,205 lbs.,,,1991-04-05,
Jan Blachowicz,187.96,205 lbs.,78,Orthodox,1983-02-24,1649.0
Jason Black,172.72,155 lbs.,,Orthodox,1972-07-15,1821.0
Brad Blackburn,177.8,170 lbs.,73,Orthodox,1977-05-25,1702.0
Jason Blackford,,--,,,,
Tom Blackledge,,205 lbs.,,Orthodox,,
Sherrard Blackledge,180.34,155 lbs.,75,Orthodox,1993-08-16,
Da'Mon Blackshear,177.8,135 lbs.,72,Switch,1994-08-12,1461.0
Chasen Blair,177.8,155 lbs.,71,Orthodox,1998-10-14,
Erin Blanchfield,162.56,125 lbs.,66,Orthodox,1999-05-04,1179.0
Maximo Blanco,172.72,145 lbs.,71,Orthodox,1983-10-16,1487.0
David Blanco,170.18,145 lbs.,,,,
Curtis Blaydes,193.04,265 lbs.,80,Orthodox,1991-02-18,1311.0
Tereza Bleda,175.26,125 lbs.,71,Orthodox,2001-11-30,1094.0
Arlene Blencowe,165.1,145 lbs.,,,1983-04-11,
Byron Bloodworth,172.72,135 lbs.,,Orthodox,1983-08-16,1467.0
Dashawn Boatwright,182.88,205 lbs.,,Orthodox,1988-02-29,
Dan Bobish,187.96,345 lbs.,,Southpaw,1970-01-26,
Mark Bocek,172.72,155 lbs.,75,Orthodox,1981-10-24,1341.0
